,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Unnamed: 4_level_0
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
11,Juan Berrocal,es ESP,DF,25-189,,5,475.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.0,0.2,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Getafe,6.0
12,Nabil Aberdin,fr FRA,MF,22-078,,4,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Getafe,7.0
13,Carles Aleñá,es ESP,"MF,FW",26-309,,3,305.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.8,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,Getafe,6.0
14,Jesús Santiago,es ESP,MF,20-168,,2,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Getafe,7.0
15,Peter Federico,do DOM,"MF,FW",22-107,,1,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11,Matches,Getafe,8.0
16,Álvaro Rodríguez,uy URU,FW,20-118,,1,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.24,0.1,0.33,0.24,0.33,Matches,Getafe,5.0
17,Allan Nyom,cm CMR,DF,36-183,,1,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches,Getafe,3.0
18,Borja Mayoral,es ESP,FW,27-218,,0,130.0,1.4,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.2,0.4,0.3,0.8,0.0,0.0,7.0,0.69,0.0,0.69,0.0,0.0,0.83,0.24,1.07,0.28,0.52,Matches,Getafe,5.0
19,Alberto Risco,es ESP,"MF,FW",19-071,,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.22,0.19,0.41,0.22,0.41,Matches,Getafe,5.0
20,Abdoulaye Keita,es ESP,MF,22-069,,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Getafe,1.0
21,Gorka Rivera Alonso,es ESP,"DF,MF",20-100,,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Getafe,1.0
22,David Argüelles,es ESP,MF,22-313,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Getafe,1.0
23,John Joe,ie IRL,"FW,MF",21-016,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches,Getafe,2.0
24,Guillem Cortiñas,es ESP,DF,21-279,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,0.0
25,Coba da Costa,es ESP,FW,22-106,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,0.0
26,Domingos Duarte,pt POR,DF,29-244,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,0.0
27,Diego Ferrer,,GK,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,0.0
28,Jiří Letáček,,GK,25-305,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,0.0
29,Djordjije Medenica,es ESP,GK,17-358,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,0.0
30,Squad Total,,,27.5,,132,1080.0,12.0,8.0,3.0,11.0,4.0,4.0,4.0,31.0,1.0,13.3,10.2,7.9,18.1,134.0,313.0,306.0,0.67,0.25,0.92,0.33,0.58,1.11,0.66,1.77,0.85,1.51,,Getafe,12.0
31,Opponent Total,,,27.3,,132,1080.0,12.0,10.0,7.0,17.0,9.0,1.0,1.0,38.0,1.0,11.4,10.8,7.9,18.6,130.0,349.0,342.0,0.83,0.58,1.42,0.75,1.33,0.95,0.66,1.61,0.9,1.55,,Getafe,12.0
0,Joan García,es ESP,GK,23-189,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Espanyol,12.0
1,Omar El Hilali,ma MAR,DF,21-058,,12,1040.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,34.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Espanyol,12.0
2,Alex Král,cz CZE,MF,26-174,,11,1024.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,15.0,38.0,24.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,Espanyol,12.0
3,Marash Kumbulla,al ALB,DF,24-275,,11,895.0,9.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.0,0.7,6.0,28.0,0.0,0.1,0.0,0.1,0.1,0.1,0.07,0.0,0.07,0.07,0.07,Matches,Espanyol,11.0
4,Carlos Romero,es ESP,DF,23-011,,10,861.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.7,1.7,16.0,27.0,41.0,0.1,0.1,0.21,0.1,0.21,0.11,0.08,0.18,0.11,0.18,Matches,Espanyol,12.0
5,Javi Puado,es ESP,FW,26-168,,10,824.0,9.2,4.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,3.0,2.2,0.7,2.9,20.0,22.0,26.0,0.44,0.0,0.44,0.33,0.33,0.33,0.07,0.4,0.24,0.31,Matches,Espanyol,10.0
6,Jofre,es ESP,"MF,FW",23-145,,10,768.0,8.5,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,2.4,22.0,18.0,56.0,0.23,0.23,0.47,0.23,0.47,0.12,0.16,0.28,0.12,0.28,Matches,Espanyol,12.0
7,Alejo Véliz,ar ARG,FW,21-051,,8,648.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,0.5,2.3,1.0,5.0,16.0,0.14,0.0,0.14,0.14,0.14,0.23,0.07,0.31,0.23,0.31,Matches,Espanyol,11.0
8,Leandro Cabrera,uy URU,DF,33-145,,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Espanyol,8.0
9,Álvaro Tejero,es ESP,"MF,DF",28-112,,7,605.0,6.7,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.9,2.3,15.0,17.0,37.0,0.15,0.3,0.45,0.15,0.45,0.06,0.28,0.34,0.06,0.34,Matches,Espanyol,11.0
10,José Gragera,es ESP,MF,23-345,,7,569.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Espanyol,10.0
11,Pol Lozano,es ESP,MF,25-034,,7,559.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2,0.2,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.04,Matches,Espanyol,8.0
12,Sergi Gómez,es ESP,DF,32-226,,4,499.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Espanyol,9.0
13,Brian Oliván,es ESP,"DF,MF",30-222,,4,333.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,6.0,16.0,21.0,0.0,0.27,0.27,0.0,0.27,0.01,0.07,0.08,0.01,0.08,Matches,Espanyol,8.0
14,Walid Cheddira,ma MAR,FW,26-292,,3,359.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.7,1.1,4.0,5.0,20.0,0.0,0.25,0.25,0.0,0.25,0.11,0.16,0.28,0.11,0.28,Matches,Espanyol,10.0
15,Álvaro Aguado,es ESP,MF,28-192,,3,289.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.3,8.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Espanyol,8.0
16,Irvin Cardona,fr FRA,"MF,FW",27-093,,2,320.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.5,1.3,6.0,8.0,21.0,0.0,0.28,0.28,0.0,0.28,0.23,0.14,0.37,0.23,0.37,Matches,Espanyol,10.0
17,Fernando Calero,es ESP,DF,29-056,,2,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Espanyol,3.0
18,Pere Milla,es ESP,"MF,FW",32-047,,1,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,4.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.12,0.07,0.12,Matches,Espanyol,7.0
19,Rafael Bauza,es ESP,MF,19-284,,1,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Espanyol,1.0
20,Antoniu,es ESP,"MF,DF",22-065,,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.34,0.14,0.48,0.34,0.48,Matches,Espanyol,4.0
21,Naci Ünüvar,nl NED,"MF,DF",21-149,,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.23,0.14,0.23,Matches,Espanyol,2.0
22,Justin Smith,ca CAN,MF,21-279,,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Espanyol,1.0
23,Alex Almansa,es ESP,FW,21-001,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,0.0
24,Català,es ESP,DF,20-085,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,0.0
25,Fortuño,es ESP,GK,23-035,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,0.0
26,Fernando Pacheco,es ESP,GK,32-175,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,0.0
27,Omar Sadik,ma MAR,FW,20-232,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,0.0
28,Salvi,es ESP,"FW,MF",33-224,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,0.0
29,Llorenç Serred,es ESP,GK,19-066,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,0.0
30,Squad Total,,,25.7,,132,1080.0,12.0,10.0,8.0,18.0,9.0,1.0,1.0,32.0,0.0,10.4,9.6,7.6,17.2,142.0,310.0,308.0,0.83,0.67,1.5,0.75,1.42,0.87,0.63,1.5,0.8,1.43,,Espanyol,12.0
31,Opponent Total,,,27.4,,132,1080.0,12.0,22.0,18.0,40.0,21.0,1.0,2.0,25.0,0.0,20.6,19.0,15.2,34.2,251.0,575.0,567.0,1.83,1.5,3.33,1.75,3.25,1.72,1.26,2.98,1.58,2.85,,Espanyol,12.0
0,Alberto Moleiro,es ESP,"FW,MF",21-039,,11,951.0,10.6,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,2.9,2.9,1.5,4.4,39.0,49.0,81.0,0.38,0.0,0.38,0.38,0.38,0.27,0.15,0.42,0.27,0.42,Matches,Las-Palmas,12.0
1,Kirian Rodríguez,es ESP,MF,28-248,,11,923.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,0.8,2.0,14.0,78.0,25.0,0.0,0.1,0.1,0.0,0.1,0.12,0.08,0.2,0.12,0.2,Matches,Las-Palmas,11.0
2,Jasper Cillessen,nl NED,GK,35-200,,10,869.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Las-Palmas,10.0
3,Álex Suárez,es ESP,DF,31-235,,10,803.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Las-Palmas,10.0
4,Álex Muñoz,es ESP,DF,30-101,,9,770.0,8.6,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.2,7.0,30.0,29.0,0.35,0.0,0.35,0.35,0.35,0.08,0.05,0.14,0.08,0.14,Matches,Las-Palmas,10.0
5,Oliver McBurnie,sct SCO,FW,28-157,,7,711.0,7.9,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6,2.5,1.0,14.0,40.0,0.0,0.38,0.38,0.0,0.38,0.12,0.2,0.32,0.12,0.32,Matches,Las-Palmas,12.0
6,Javier Muñoz,es ESP,MF,29-254,,7,705.0,7.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.8,1.2,8.0,36.0,25.0,0.0,0.13,0.13,0.0,0.13,0.05,0.1,0.15,0.05,0.15,Matches,Las-Palmas,12.0
7,Scott McKenna,sct SCO,DF,27-362,,7,638.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Las-Palmas,8.0
8,Dario Essugo,pt POR,MF,19-239,,7,591.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,6.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Las-Palmas,7.0
9,Fábio Silva,pt POR,"FW,MF",22-112,,7,568.0,6.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.2,2.2,12.0,8.0,38.0,0.32,0.16,0.48,0.32,0.48,0.32,0.04,0.36,0.32,0.36,Matches,Las-Palmas,8.0
10,Viti,es ESP,DF,27-053,,6,597.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6,0.6,11.0,13.0,21.0,0.0,0.15,0.15,0.0,0.15,0.0,0.1,0.1,0.0,0.1,Matches,Las-Palmas,11.0
11,Mika Màrmol,es ESP,DF,22-129,,6,510.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,3.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Las-Palmas,8.0
12,Sandro Ramírez,es ESP,"FW,MF",29-122,,6,496.0,5.5,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.2,1.2,0.8,2.0,12.0,13.0,21.0,0.54,0.18,0.73,0.54,0.73,0.22,0.15,0.37,0.22,0.37,Matches,Las-Palmas,9.0
13,José Campaña,es ESP,MF,31-161,,6,383.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.5,3.0,25.0,3.0,0.0,0.23,0.23,0.0,0.23,0.01,0.1,0.11,0.01,0.11,Matches,Las-Palmas,7.0
14,Marvin,es ESP,"DF,FW",24-128,,5,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,17.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,Las-Palmas,6.0
15,Juan Herzog,es ESP,DF,21-179,,4,377.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Las-Palmas,5.0
16,Adnan Januzaj,be BEL,"FW,MF",29-277,,3,256.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4,0.7,10.0,17.0,24.0,0.0,0.35,0.35,0.0,0.35,0.11,0.14,0.25,0.11,0.25,Matches,Las-Palmas,5.0
17,Enzo Loiodice,fr FRA,MF,23-347,,2,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,Las-Palmas,6.0
18,Jaime Mata,es ESP,FW,36-015,,2,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.0,0.5,3.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.21,0.2,0.21,Matches,Las-Palmas,10.0
19,Dinko Horkaš,hr CRO,GK,25-243,,2,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Las-Palmas,3.0
20,Manuel Fuster,es ESP,"FW,MF",27-017,,2,206.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,6.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.08,0.18,0.26,0.08,0.26,Matches,Las-Palmas,8.0
21,Benito Ramírez,es ESP,"DF,MF",29-120,,1,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,9.0,10.0,37.0,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.18,0.06,0.18,Matches,Las-Palmas,7.0
22,Daley Sinkgraven,nl NED,DF,29-127,,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Las-Palmas,2.0
23,Marc Cardona,es ESP,FW,29-123,,0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,Las-Palmas,4.0
24,Fabio González,es ESP,MF,27-270,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,Las-Palmas,1.0
25,Pejiño,es ESP,FW,28-102,,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,Las-Palmas,1.0
26,Aboubacar Bassinga,ci CIV,MF,19-118,,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Las-Palmas,1.0
27,Iván Gil,es ESP,MF,24-295,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Las-Palmas,0.0
28,Álvaro Killane,es ESP,GK,19-330,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Las-Palmas,0.0
29,Valentín Pezzolesi,es ESP,DF,17-206,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Las-Palmas,0.0
30,Víctor Puig,es ESP,GK,25-087,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Las-Palmas,0.0
31,Squad Total,,,27.5,,132,1080.0,12.0,12.0,10.0,22.0,12.0,0.0,0.0,34.0,0.0,11.3,11.3,9.5,20.8,169.0,433.0,427.0,1.0,0.83,1.83,1.0,1.83,0.94,0.79,1.73,0.94,1.73,,Las-Palmas,12.0
32,Opponent Total,,,27.3,,132,1080.0,12.0,20.0,16.0,36.0,17.0,3.0,6.0,32.0,5.0,20.8,16.5,13.3,29.8,224.0,469.0,467.0,1.67,1.33,3.0,1.42,2.75,1.74,1.11,2.85,1.37,2.48,,Las-Palmas,12.0
0,Karl Jakob Hein,ee EST,GK,22-210,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Valladolid,12.0
1,Luis Pérez,es ESP,DF,29-279,,12,1040.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,1.1,20.0,38.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,Valladolid,12.0
2,Lucas Oliveira Rosa,br BRA,DF,24-220,,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.9,1.0,17.0,27.0,40.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,Matches,Valladolid,11.0
3,Eray Cömert,ch SUI,"MF,DF",26-279,,10,797.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.5,4.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Valladolid,11.0
4,Selim Amallah,ma MAR,"MF,FW",27-360,,9,664.0,7.4,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.6,1.8,0.2,2.0,11.0,26.0,15.0,0.27,0.14,0.41,0.14,0.27,0.35,0.03,0.38,0.24,0.27,Matches,Valladolid,10.0
5,Raúl Moro,es ESP,"FW,MF",21-340,,8,851.0,9.5,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,2.0,3.3,43.0,37.0,85.0,0.21,0.11,0.32,0.21,0.32,0.14,0.21,0.35,0.14,0.35,Matches,Valladolid,12.0
6,Mario Martín,es ESP,MF,20-249,,7,596.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,0.3,0.6,4.0,24.0,8.0,0.0,0.15,0.15,0.0,0.15,0.05,0.05,0.09,0.05,0.09,Matches,Valladolid,9.0
7,Kike Pérez,es ESP,MF,27-269,,7,585.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.2,10.0,31.0,12.0,0.15,0.0,0.15,0.15,0.15,0.13,0.05,0.18,0.13,0.18,Matches,Valladolid,11.0
8,David Torres,es ESP,DF,21-249,,6,607.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Valladolid,8.0
9,Javi Sánchez,es ESP,DF,27-240,,6,494.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,Valladolid,6.0
10,Stanko Jurić,hr CRO,MF,28-085,,5,554.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.3,0.3,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Valladolid,10.0
11,Mamadou Sylla,sn SEN,FW,30-234,,5,458.0,5.1,2.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,2.3,0.7,0.7,1.4,4.0,4.0,14.0,0.39,0.2,0.59,0.0,0.2,0.46,0.13,0.59,0.15,0.28,Matches,Valladolid,9.0
12,Amath,sn SEN,"FW,DF",28-116,,5,293.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,7.0,10.0,17.0,0.0,0.31,0.31,0.0,0.31,0.11,0.06,0.17,0.11,0.17,Matches,Valladolid,6.0
13,Darwin Machís,ve VEN,"FW,MF",31-276,,5,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,3.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.24,0.21,0.24,Matches,Valladolid,5.0
